gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,0.986700,0.986700,reliant,CORPUS-BOUND
a0.15,0.933300,0.933300,reliant,CORPUS-BOUND
a0.2,0.800000,0.800000,reliant,CORPUS-BOUND
a0.25,0.693300,0.693300,reliant,CORPUS-BOUND
a0.3,0.426700,0.426700,reliant,CORPUS-BOUND
a0.35,0.266700,0.266700,reliant,LEAKING
a0.4,0.186700,0.186700,reliant,LEAKING
a0.45,0.133300,0.133300,independent,LEAKING
a0.5,0.080000,0.080000,independent,LEAKING
a0.55,0.040000,0.040000,independent,LEAKING
a0.6,0.013300,0.013300,independent,LEAKING
a0.65,0.013300,0.013300,independent,LEAKING
a0.7,0.013300,0.013300,independent,LEAKING
a0.75,0.000000,0.000000,independent,LEAKING
a0.8,0.000000,0.000000,independent,LEAKING
a0.85,0.000000,0.000000,independent,LEAKING
a0.9,0.000000,0.000000,independent,LEAKING
a0.95,0.000000,0.000000,independent,LEAKING
a1,0.000000,0.000000,independent,LEAKING
